Date,Account,Category,Subcategory,Note,TK,Income/Expense,Note,Amount,Currency,Account
3/2/2022 10:11,DBBL - online payment,Food,,Brownie,50,Expense,,50,TK,50
3/2/2022 10:11,DBBL - online payment,Other,,To lended people,300,Expense,,300,TK,300
3/1/2022 19:50,DBBL - online payment,Food,,Dinner,78,Expense,,78,TK,78
3/1/2022 18:56,DBBL - online payment,Transportation,,Metro,30,Expense,,30,TK,30
3/1/2022 18:22,DBBL - online payment,Food,,Snacks,67,Expense,,67,TK,67
3/1/2022 18:22,DBBL - online payment,Other,,From vicky,100,Income,,100,TK,100
3/1/2022 18:21,DBBL - online payment,Other,,From dad,500,Income,,500,TK,500
2/28/2022 11:56,DBBL - online payment,Food,,Pizza,339.15,Expense,,339.15,TK,339.15
2/28/2022 11:45,DBBL - online payment,Other,,From kumara,200,Income,,200,TK,200
2/27/2022 15:29,DBBL - online payment,Food,,Lunch,243,Expense,,243,TK,243
2/26/2022 20:16,DBBL - online payment,Food,,,25,Expense,,25,TK,25
2/26/2022 17:37,DBBL - online payment,Other,,From dad,1500,Income,,1500,TK,1500
2/26/2022 17:37,DBBL - online payment,Other,,To karthi,100,Expense,,100,TK,100
2/26/2022 16:01,DBBL - online payment,Social Life,,,1700,Expense,,1700,TK,1700
2/26/2022 14:07,DBBL - online payment,Food,,Snacks,40,Expense,,40,TK,40
2/26/2022 1:39,DBBL - online payment,Food,,Tea lights,84,Expense,,84,TK,84
2/25/2022 12:08,DBBL - online payment,Food,,,33,Expense,,33,TK,33
2/24/2022 22:32,DBBL - online payment,Household,,,303,Expense,,303,TK,303
2/24/2022 22:21,DBBL - online payment,Food,,Creamstone,289,Expense,,289,TK,289
2/24/2022 19:15,DBBL - online payment,Food,,Tamen,324.7,Expense,,324.7,TK,324.7
2/23/2022 17:35,DBBL - online payment,Apparel,,Hoodie for gobi,399,Expense,,399,TK,399
2/23/2022 16:06,DBBL - online payment,Food,,Eggs,83,Expense,,83,TK,83
2/23/2022 12:38,DBBL - online payment,Apparel,,Earphone,399,Expense,,399,TK,399
2/22/2022 6:33,DBBL - online payment,Transportation,,Auto to laxmi mills,120,Expense,,120,TK,120
2/21/2022 22:15,DBBL - online payment,Transportation,,It better be worth it,1300,Expense,,1300,TK,1300
2/21/2022 16:06,DBBL - online payment,Transportation,,Travel to Gabtoli,138,Expense,,138,TK,138
2/21/2022 15:40,DBBL - online payment,Household,,Stuffs,336,Expense,,336,TK,336
2/21/2022 15:38,DBBL - online payment,Transportation,,Train Dhaka to DHK,201.8,Expense,,201.8,TK,201.8
2/20/2022 15:24,DBBL - online payment,Food,,Lunch,200,Expense,,200,TK,200
2/19/2022 23:03,DBBL - online payment,Food,,Random stuff for drinks,111,Expense,,111,TK,111
2/19/2022 21:57,DBBL - online payment,Food,,Snacks,250,Expense,,250,TK,250
2/19/2022 21:35,DBBL - online payment,Transportation,,Bus ticket,1575,Expense,,1575,TK,1575
2/19/2022 20:45,DBBL - online payment,Transportation,,Took from DBBL,200,Expense,,200,TK,200
2/19/2022 20:45,DBBL - online payment,Food,,Ramen with gobi,380,Expense,,380,TK,380
2/19/2022 8:26,DBBL - online payment,Transportation,,Metro,60,Expense,,60,TK,60
2/19/2022 6:27,DBBL - online payment,Other,,To auto anna,50,Expense,,50,TK,50
2/19/2022 6:18,DBBL - online payment,Transportation,,To Kamalapur,270,Expense,,270,TK,270
2/18/2022 23:01,DBBL - online payment,Food,,Kfc dinner,348,Expense,,348,TK,348
2/17/2022 13:11,DBBL - online payment,Food,,Lunch,80,Expense,,80,TK,80
2/16/2022 16:57,DBBL - online payment,Food,,Side dishes,165,Expense,,165,TK,165
2/16/2022 16:57,DBBL - online payment,Food,,Kfc ,475,Expense,,475,TK,475
2/13/2022 21:54,DBBL - online payment,Social Life,,Games ,100,Expense,,100,TK,100
2/12/2022 21:20,DBBL - online payment,Food,,Dinner with aravind and buddies,491,Expense,,491,TK,491
2/12/2022 16:04,DBBL - online payment,Household,,Mirror,70,Expense,,70,TK,70
2/12/2022 14:48,DBBL - online payment,Food,,Lunch,80,Expense,,80,TK,80
2/12/2022 14:47,DBBL - online payment,Other,,From dad,10000,Income,,10000,TK,10000
2/11/2022 22:41,DBBL - online payment,Food,,Dinner with aravind,373,Expense,,373,TK,373
2/10/2022 20:15,DBBL - online payment,Food,,Kfc dinner,641,Expense,,641,TK,641
2/8/2022 10:37,DBBL - online payment,Other,,From dad,1000,Income,,1000,TK,1000
2/8/2022 9:18,DBBL - online payment,Household,,Bean bag,2099,Expense,,2099,TK,2099
2/7/2022 7:08,DBBL - online payment,Transportation,,Auto to Gobi's place,214,Expense,,214,TK,214
2/6/2022 18:32,DBBL - online payment,Food,,Cakepark,125,Expense,,125,TK,125
2/6/2022 17:53,DBBL - online payment,Food,,To kumara,150,Expense,,150,TK,150
2/6/2022 17:52,DBBL - online payment,Transportation,,To Dhaka,1000,Expense,,1000,TK,1000
2/6/2022 16:41,DBBL - online payment,Other,,Salary from dad,5000,Income,,5000,TK,5000
2/6/2022 16:40,DBBL - online payment,Other,,To gobi,1500,Expense,,1500,TK,1500
2/4/2022 20:28,DBBL - online payment,Food,,Shawarma,80,Expense,,80,TK,80
2/3/2022 14:53,DBBL - online payment,Food,,Good soup,50,Expense,,50,TK,50
2/3/2022 8:59,DBBL - online payment,Other,,To gowdham,150,Expense,,150,TK,150
2/2/2022 20:15,DBBL - online payment,Food,,Parotta,120,Expense,,120,TK,120
2/2/2022 20:14,DBBL - online payment,Other,,From dad,500,Income,,500,TK,500
